Spawning.Year,Sex,Poh.Length.Mm,Scale.Total.Age.Yrs,Scale.Gilbert.Age,(R) RESOLVED STOCK ID,(R) RESOLVED STOCK-ORIGIN
2017,Male,692,5,51,Robertson,Hatchery Robertson
2017,Female,692,5,51,Robertson,Hatchery Robertson
2017,Female,692,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,692,5,51,Robertson,Hatchery Robertson
2017,Female,692,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,693,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,693,5,51,Robertson,Hatchery Robertson
2017,Female,693,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,693,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,693,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,694,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,694,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,694,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,694,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,694,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,694,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,694,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,694,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,695,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,695,3,31,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,695,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,696,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,696,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,696,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,696,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,696,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Male,696,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,696,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,696,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,696,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,697,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,697,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,697,5,51,Robertson,Hatchery Robertson
2017,Female,697,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,697,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,697,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,697,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,698,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,698,4,41,Robertson,Hatchery Robertson
2017,Female,698,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,699,3,31,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,699,3,31,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,699,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,700,5,51,Robertson,Hatchery Robertson
2017,Female,700,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,700,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,700,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,700,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,700,5,51,Robertson,Hatchery Robertson
2017,Male,701,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,701,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
